Main / Associated,Document URL,Document Name,Link ,Contract Name,Contract Identifier,Language,Country Name,Resource,Contract Type,Signature Date,Document Type,Government Entity,Government Identifier,Company Name 1,Company Name 2,Company Name 1 (concatenated),Company Name 1 ,Company Name 2,Company Name 3,Company Name 4,Company Name 3,Company Name 5,Company Name 6,Company Name 4,Company Name 8,Company Address 1,Jurisdiction of Incorporation 1,Registration Agency 1,Company Number 1,Corporate Grouping 1,Participation Share 1,Open Corporates Link 1,Incorporation Date 1,Operator 1,Company Name 2,Jurisdiction of Incorporation 2,Registration Agency 2,Company Number 2,Corporate Grouping 2,Participation Share 2,Open Corporates Link 2,Incorporation Date 2,Operator 2,Project Title,Project Identifier,License Name,License Identifier,Source Url,Disclosure Mode,Retrieval Date
Main,https://www.gob.mx/cms/uploads/attachment/file/117492/CNH-R01-L03-A6-2015.pdf,,Works,"Área Contractual 6, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Diavaz Offshore,S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117493/CNH-R01-L03-A7-2015.pdf,,Works,"Área Contractual 7, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Servicios de extraccion Petrolera Lifting de México,S.A. de C.V.,Servicios de extraccion Petrolera Lifting de México S.A. de C.V.,Servicios de extraccion Petrolera Lifting de México S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117494/CNH-R01-L03-A8-2015.pdf,,Works,"Área Contractual 8, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Dunas Exploración y Producción,S.A.P.I. de C.V.,Dunas Exploración y Producción S.A.P.I. de C.V.,Dunas Exploración y Producción S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117495/CNH-R01-L03-A9-2015.pdf,,Works,"Área Contractual 9, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Perseus Fortuna Nacional,S.A. de C.V.,Perseus Fortuna Nacional S.A. de C.V.,Perseus Fortuna Nacional S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/128348/CONTRATO_CNH-R01-L03-A10.2016.pdf,,Works,"Área Contractual 10, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,Oleum del Norte,S.A.P.I. de C.V.,Oleum del Norte S.A.P.I. de C.V.,Oleum del Norte S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/128345/CONTRATO_CNH-R01-L03-A17.2016.pdf,,Works,"Área Contractual 17, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,Servicios de Extraccion Petrolera Lifting de México,S.A. de C.V.,Servicios de Extraccion Petrolera Lifting de México S.A. de C.V.,Servicios de Extraccion Petrolera Lifting de México S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/128344/CONTRATO_CNH-R01-L03-A19.2016.pdf,,Works,"Área Contractual 19, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,Renaissance Oil Corp.,S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/194322/CONTRATO_CNH-R01-L03-A20.2016_modificado.pdf,,Works,"Área Contractual 10, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,GS Oil & Gas,S.A.P.I. de C.V.,GS Oil & Gas S.A.P.I. de C.V.,GS Oil & Gas S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/128346/CONTRATO_CNH-R01-L03-A21.2016.pdf,,Works,"Área Contractual 21, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,Strata CR,S.A.P.I. de C.V.,Strata CR S.A.P.I. de C.V.,Strata CR S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,http://rondasmexico.gob.mx/wp-content/uploads/2017/04/CONTRATO_CNH-R01-L03-A24.2016.pdf,,Works,"Área Contractual 24, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-08-25,Contract,Comisión Nacional de Hidrocarburos,,Tonalli Energía,S.AP.I. de C.V.,Tonalli Energía S.AP.I. de C.V.,Tonalli Energía S.AP.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
